id,SSU_49870,SSU_49871,SSU_49872,SSU_65981,SSU_65982,SSU_65983,SSU_65984,SSU_65985,SSU_65986
HAND2,3,0,30,0,0,0,0,0,0
HAND2-AS1,0,0,13,0,0,0,0,0,0
HAO1,3,1,38,0,0,0,1,1,0
HAO2,2,0,46,0,0,0,0,0,0
HAO2-IT1,0,0,10,0,0,0,0,0,0
HAP1,5,1,63,0,0,1,0,0,0
HAPLN1,4,0,59,0,0,0,0,0,0
HAPLN2,1,0,32,0,0,0,0,0,0
HAPLN3,3,0,56,0,0,0,0,0,0
HAPLN4,1,3,36,0,0,0,0,0,0
HAR1A,0,0,21,0,0,0,0,0,0
HAR1B,2,1,14,0,1,0,0,0,0
HARBI1,3,6,25,2,4,3,0,0,3
HARS,689,366,181,130,90,112,184,134,118
HARS2,29,20,55,7,3,17,15,15,19
HAS1,0,4,28,0,1,0,1,0,0
HAS2,3,1,32,0,0,0,1,0,0
HAS2-AS1,3,0,32,0,0,0,0,0,0
HAS3,3,1,137,6,2,12,8,6,11
HAT1,12135,7494,2503,773,572,629,1794,1019,543
HAUS1,4,0,27,1,0,2,1,0,1
HAUS2,2,0,55,0,2,2,2,7,1
HAUS3,42,59,60,69,60,53,70,121,104
HAUS4,0,0,23,2,0,2,0,2,1
HAUS5,3,3,80,2,0,1,1,0,2
HAUS6,10,1,129,0,1,1,1,4,9
HAUS7,4,0,72,0,1,0,0,0,0
HAUS8,3,1,51,0,0,0,0,0,0
HAVCR1,2,0,38,0,0,0,0,0,0
HAVCR1P1,0,0,9,0,0,0,0,0,0
HAVCR2,0,0,35,3,0,0,1,2,0
HAX1,59,79,50,32,13,28,26,34,45
HBA1,0,0,7,0,0,0,0,0,0
HBA2,0,0,10,0,0,0,0,0,0
HBB,23,13,30,8,0,83,10,24,42
HBBP1,1,0,3,0,0,0,0,0,0
HBD,1,0,17,0,0,3,0,0,4
HBE1,1,0,15,0,0,4,0,1,1
HBEGF,4,3,37,0,1,0,4,5,0
HBG1,0,0,8,0,0,0,0,0,0
HBG2,1,0,12,0,0,0,0,0,0
HBM,0,0,6,0,0,0,0,0,0
HBP1,2243,4095,3588,384,545,844,653,853,799
HBQ1,2,0,7,0,0,0,0,0,0
HBS1L,921,377,563,75,79,109,116,101,152
HBZ,0,2,8,0,0,1,0,0,0
HCAR1,5,1,24,0,0,0,0,0,0
HCAR2,1,3,17,2,5,0,56,45,0
HCAR3,1,1,22,0,0,0,5,1,0
HCCAT5,0,0,12,0,0,0,0,0,0
HCCS,1,1,37,7,10,6,8,5,3
HCFC1,9954,5337,3541,772,822,1090,1115,834,901
HCFC1-AS1,1,0,24,0,0,0,0,1,0
HCFC1R1,0,0,15,3,2,2,1,2,0
HCFC2,2281,1739,1279,118,145,180,150,203,178
HCG11,1,6,49,2,2,3,0,1,2
HCG14,0,0,5,0,0,0,0,1,0
HCG17,3,1,22,0,0,0,0,0,0
HCG18,3,2,86,2,0,2,1,3,1
HCG2040054,2,0,9,0,0,0,0,0,0
HCG22,2,2,35,0,0,0,0,0,0
HCG23,0,0,10,0,0,0,0,0,0
HCG25,1,2,13,0,0,0,0,0,0
HCG26,0,0,21,0,0,0,0,0,0
HCG27,1,0,22,0,0,0,0,0,0
